<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
USS MESA VERDE (LPD 19) FY18 Dry-Docking Phased Maintenance Availability (DPMA),01122018,17,,Department of the Navy,SEA 02r1333 Isaac Hull Avenue SE Washington Navy Yard DC 20376,US,,<MOD>,J,336611,0bb80225-8a77-11e7-89d0-1cc1de329608,N00024-17-R-4429,https://www.fbo.gov/spg/DON/NAVSEA/NAVSEAHQ/N00024-17-R-4429/listing.html,Naval Sea Systems Command,NAVSEA HQ,20376,090117,Link To Document,PRESOL,0822,"Candice Tawiah, Contract Specialist, Phone 2027810173, Email candice.tawiah@navy.mil - Steven G. Galer, Contracting Officer, Phone 2027812873, Email steven.galer@navy.mil",N/A
"Radio Frequency Communications Systems Research, Development, Test and Evaluation (CSRDTE)",,17,,Department of the Air Force,26 Electronic Parkway Rome NY 13441-4514,,,<MOD>,A,541712,0bb8018c-8a77-11e7-89d0-1cc1de329608,BAA-AFRL-RIK-2015-0018,https://www.fbo.gov/spg/USAF/AFMC/AFRLRRS/BAA-AFRL-RIK-2015-0018/listing.html,Air Force Materiel Command,AFRL/RIK -  Rome ,13441-4514,,Link To Document,PRESOL,0822,"Gail E. Marsh, Contracting Officer, Phone 315-330-7518, Email Gail.Marsh@us.af.mil",
Lease of Office Space for 2020 Area Census Offices x96 Miami North,,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb8023f-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7FL2446,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7FL2446/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"Cindy Fazioli, Leasing Specialist, Phone 954-233-8386, Email cindy.fazioli@gsa.gov - James Thompson, Contracting Officer, Phone (954) 356-7698, Fax (954) 356-7675, Email james.fthompson@gsa.gov",
USDA Forest Service Tusquitee RD Pole Shed Construction,10012017,17,,Department of Agriculture,200 WT Weaver Blvd. Asheville NC 28804,US,28906,<MOD>,Y,236210,0bb801e3-8a77-11e7-89d0-1cc1de329608,AG-4568-S-17-0035,https://www.fbo.gov/spg/USDA/FS/4568/AG-4568-S-17-0035/listing.html,Forest Service,SRS Eastern Administrative Zone - NC,28804,090117,Link To Document,PRESOL,0822,"Takele K. Woldu, Contracting Officer, Phone 828-257-4205, Fax 828-257-4876, Email twoldu@fs.fed.us - Keith David Friot, Phone 8282574292, Email kfriot@fs.fed.us",Total Small Business
Broad Agency Announcement (BAA) for Boosting Innovative GEOINT (BIG),,17,,Other Defense Agencies,Attn: OCSC  Mail Stop S84-OCSC7500 Geoint Drive Springfield VA 22150,US,22150,<MOD>,A,541712,0bb801e9-8a77-11e7-89d0-1cc1de329608,HM0476-16-BAA-0001,https://www.fbo.gov/notices/94e71d0c91e90d2b9c60f70ee0acb270,National Geospatial-Intelligence Agency,"OCSC - Commercial Imagery, RD, and Resource Management",22150,120818,Link To Document,PRESOL,0822,"Andrew J. Karl, Contract Specialist, Phone 571-557-2382, Fax 571-558-3415, Email Andrew.J.Karl@nga.mil - Nilda E. Lugo, Contract Specialist, Phone 5715587264, Email nilda.e.lugo@nga.mil",N/A
S5121A-17-R-0008,,17,,Defense Contract Management Agency,3901 A AverBLDG 10500 Fort Lee VA 23801-1809,,,<MOD>,D,511210,0bb801bb-8a77-11e7-89d0-1cc1de329608,S5121A-17-R-0008,https://www.fbo.gov/spg/DCMA/DSPPMRO/DCMA-OCB/S5121A-17-R-0008/listing.html,Defense Contract Management Agency,DCMA AQ,23801-1809,071417,Link To Document,PRESOL,0710,"Natasha Y. Johnson, Contract Specialist, Phone 8047340438, Email natasha.johnson@dcma.mil",
NFATC CHILD CARE FACILITY EXPANSION,,17,,General Services Administration,"7TH  D Streets, SW Washington DC 20407",US,22204,<MOD>,Y,236220,0bb80231-8a77-11e7-89d0-1cc1de329608,47PM0517R0028,https://www.fbo.gov/notices/4d8d45bdb3cb5e7d9ee12cd3c757d156,Public Buildings Service (PBS),NCR Capital Construction Center 3 (47PM03),20407,091417,Link To Document,PRESOL,0822,"Arvid Gooray, Phone 2026799348, Email Arvid.Gooray@gsa.gov - Richard Brooks, Contracting Officer, Email RichardL.Brooks@gsa.gov",Competitive 8(a)
54--FELSENTHAL NWR MOBILE HOME,09162017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GR1875 CENTURY BOULEVARDSUITE 310ATLANTAGA30345-3310US",,,<MOD>,54,321992,0bb801d5-8a77-11e7-89d0-1cc1de329608,F17PS01162,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01162/listing.html,Fish and Wildlife Service,CGS-WO,30345,090117,Link To Document,PRESOL,0822,"Tapp, Mark",
Install LED Light At George Ave.  Jefferson Ave.,,17,,Department of the Army,"43200 MAPLE STREET, BLDG 105 SELFRIDGE ANG BASE MI 48045-5213",US,48045,<MOD>,Z,238210,0bb801eb-8a77-11e7-89d0-1cc1de329608,W912JB-17-B-4004,https://www.fbo.gov/spg/USA/NGB/DAHA20-2/W912JB-17-B-4004/listing.html,National Guard Bureau,"127 MSG/MSC,  MI ANG",48045-5213,082517,Link To Document,PRESOL,0822,"David A. Brown, Contract Specialist, Phone 5862395867, Email david.a.brown202.civ@mail.mil - Steven Stocking, Contracting Officer, Phone 5863074881, Fax N/A, Email steven.A.stocking3.mil@mail.mil",Total Small Business
"Q--(4) MOAs, (3) Dental Assistants, (3) Pharmacy Technicians",02192018,17,,Department of Justice,"4700 Bureau Road South, Terre Haute, IN 47802",US,47802,<MOD>,Q,,0bb801b3-8a77-11e7-89d0-1cc1de329608,15B41818Q00000004,https://www.fbo.gov/spg/DOJ/BPR/PPB/15B41818Q00000004/listing.html,Bureau of Prisons,Acquisitions Branch,22030,082317,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"CXT Shower Building Installation for Preston Bend PUA, Lake Texoma",,17,,Department of the Army,Attn:  CESWT- CTr1645 South 101st East Avenue Tulsa OK 74128-4609,US,75020,<MOD>,Z,237990,0bb8025d-8a77-11e7-89d0-1cc1de329608,W912BV17R0043,https://www.fbo.gov/spg/USA/COE/DACA56/W912BV17R0043/listing.html,U.S. Army Corps of Engineers,"USACE District, Tulsa",74128-4609,090717,Link To Document,PRESOL,0822,"Diane Cianci, Contract Specialisr, Phone 9186697458, Email diane.cianci@usace.army.mil",Total Small Business
S--NCTC - CAMPUS CARPET REPLACEMENT 2017,09152017,17,,Department of the Interior,"FWS, DIV OF CONTRACTING AND FA5275 Leesburg PikeMS: BMOFalls ChurchVA22041-3803US",,,<MOD>,S,238330,0bb801d9-8a77-11e7-89d0-1cc1de329608,F17PS00900,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS00900/listing.html,Fish and Wildlife Service,CGS-WO,22041,083117,Link To Document,PRESOL,0822,"Weber, Alicia",Total Small Business
"Lease of Office Space for 2020 Area Census Offices x96 Orange County, FL",,17,,General Services Administration,"77 Forsyth Street, SW Atlanta GA 30303-3427",,,<MOD>,X,531120,0bb8023d-8a77-11e7-89d0-1cc1de329608,17-CENSUS-7FL2445,https://www.fbo.gov/spg/GSA/PBS/4PE/17-CENSUS-7FL2445/listing.html,Public Buildings Service (PBS),R4 Leasing Division (47PE99),30303-3427,090717,Link To Document,SRCSGT,0822,"Keitra E. Harris, Lease Contracting Officer, Phone (954) 233-9245, Fax (954) 356-7675, Email keitra.harris@gsa.gov - Tarra Powell, Phone 404-562-0729, Email tarra.powell@gsa.gov",
Bridge Replacement - Excursion Inlet,,17,,Department of Agriculture,,US,,<MOD>,Y,237310,0bb801df-8a77-11e7-89d0-1cc1de329608,AG-0109-S-17-0073,https://www.fbo.gov/spg/USDA/FS/109/AG-0109-S-17-0073/listing.html,Forest Service,R-10 Alaska Region,Total Small Business,082517,Link To Document,PRESOL,0822,"Mari Meiners, Phone 9075868746, Email mmeiners@fs.fed.us",HUBZone
"Rehabilitate and Expand Historic Visitor Center; Scotts Bluff National Monument, Nebraska",,17,,Department of the Interior,12795 West Alameda ParkwayPost Office Box 25287 Denver CO 80225-0287,US,,<MOD>,Z,236220,0bb80209-8a77-11e7-89d0-1cc1de329608,P17PS01238,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01238/listing.html,National Park Service,NPS - All Offices,80225-0287,090617,Link To Document,SRCSGT,0822,"Monica Divelbess, Contract Specialist, Email monica_divelbess@nps.gov - Frank Camacho, Contracting Officer, Phone (303) 969-2344, Email frank_camacho@nps.gov",Total Small Business
Repair Roof Hangar 1,09302017,17,,Department of the Army,"UNIT 28100, BOX 15 APO AE 1 09714-9998",,,<MOD>,38,238160,0bb801a3-8a77-11e7-89d0-1cc1de329608,W912PA-17-R-0005,https://www.fbo.gov/notices/e29a2b10e467b108b32ae4f67b0be2b0,"Army Contracting Command, ECC",409th CSB (W912PA) RCO Benelux,09714-9998,092117,Link To Document,PRESOL,0822,"Lindsay K. Carrington, Phone 32027179617, Email lindsay.k.carrington.civ@mail.mil - Michael C. Brown, Contracting Officer, Phone 3227179653, Email michael.c.brown105.civ@mail.mil",
S--Trailer Mounted Boom Lift,02212018,17,,Department of the Interior,"100 Alabama Street.,SW, Atlanta, GA 30303",US,30742,<MOD>,S,,0bb80208-8a77-11e7-89d0-1cc1de329608,P17PS403353664,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS403353664/listing.html,National Park Service,NPS - All Offices,22030,082517,Link To Document,PRESOL,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"Blanket, Bed, Wool, Shrink Resistant and Mothproofed, Afghanistan",,17,,Defense Logistics Agency,700 Robbins Avenue Philadelphia PA 19111-5096,,,<MOD>,72,313210,0bb801c4-8a77-11e7-89d0-1cc1de329608,SPE1C1-17-P-0145,https://www.fbo.gov/spg/DLA/J3/DSCP-C/SPE1C1-17-P-0145/listing.html,DLA Acquisition Locations,DLA Troop Support - Clothing  Textiles,19111-5096,092117,Link To Document,PRESOL,0822,"Robert C. Fagan, Contract Specialist, Phone 2157370932, Email Robert.Fagan@dla.mil - Jessica De La Hoz, Contracting Officer, Phone 2157377137, Email jessica.delahoz@dla.mil",
58--VIDEO CONFERENCING SYSTEM,09222017,17,,Department of the Interior,USGS OAG RESTON ACQUISITION BRANCH205 NATIONAL CENTER12201 SUNRISE VALLEY DRIVERESTONVA20192US,,,<MOD>,58,334310,0bb80246-8a77-11e7-89d0-1cc1de329608,G17PS00883,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00883/listing.html,U. S. Geological Survey,USGS - All Offices,20192,090717,Link To Document,PRESOL,0822,"Valliere, Jenna",
"Replace Roof(s) Juneau, Alaska Federal Building",,17,,General Services Administration,"222 West 7th Avenue, Rm 151 Anchorage AK 99513-7500",US,99801,<MOD>,Z,238160,0bb80233-8a77-11e7-89d0-1cc1de329608,EQ10PCB-1-17-0067,https://www.fbo.gov/spg/GSA/PBS/10PM4/EQ10PCB-1-17-0067/listing.html,Public Buildings Service (PBS),R10 Northern Service Center (47PL07),99513-7500,091117,Link To Document,PRESOL,0822,"Amy M. Heusser, Contracting Officer, Phone 9072713741, Email amy.heusser@gsa.gov - Heather Bowden, Contracting Officer, Phone 2532045631, Email heather.bowden@gsa.gov",Total Small Business
Z--INDE - REPLACE ROOF PEMBERTON HOUSE,09132017,17,,Department of the Interior,"NPS, NER A/E- CONSTRUCTION - IA MAB200 Chestnut Street, 3rd FloorPhiladelphiaPA19106US",USA,19106,<MOD>,Z,238160,0bb8020b-8a77-11e7-89d0-1cc1de329608,P17PS02015,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02015/listing.html,National Park Service,NPS - All Offices,19106,082917,Link To Document,PRESOL,0822,"Lynam, Molly",Total Small Business
