<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DATE>,<DESC>,<CONTACT>,<SETASIDE>
NANO PENDANT,,17,,Department of the Interior,BIA EORO 000083100 WEST PEAK BOULEVARDContracting OfficeMuskogeeOK74402US,,,<SNOTE>,58,334310,0adf815a-8a77-11e7-89d0-1cc1de329608,A17PS01287,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS01287/listing.html,Bureau of Indian Affairs,BIA - DAPM,74402,,0822,Link To Document,,
36--Surfacide Multi Emitter UV-C Disinfection System    ,09212017,17,michael.iffland@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Ann Arbor Healthcare System;Network Contracting Office 10;2215 Fuller Road;Ann Arbor MI  48105,,,<SNOTE>,36,339113,0adf8199-8a77-11e7-89d0-1cc1de329608,VA25017N1089,https://www.fbo.gov/spg/VA/VAAAHCS506/VAAAHCS506/VA25017N1089/listing.html,VA Ann Arbor Health Care System,Department of Veterans Affairs Ann Arbor Health Care System,48105,,0822,michael.iffland@va.gov,Michael IfflandContract Specialistmichael.iffland@va.govmichael.iffland@va.gov,
Industry Day 2 for Environmental Remedial Actions (anticipated requirement to be a Cost Type Contract) at NAVFAC SW,09222017,17,,Department of the Navy,"N62473 NAVFAC SOUTHWEST, ENVIRONMENTAL CONTRACTS CORE CODE RAQE0 1220 Pacific Highway San Diego, CA",,,<SNOTE>,,562910,0adf8181-8a77-11e7-89d0-1cc1de329608,N6247316R2418,https://www.fbo.gov/spg/DON/NAVFAC/N68711A6A/N6247316R2418/listing.html,Naval Facilities Engineering Command,"NAVFAC Southwest, Environmental Contract Core",92132,,0822,Link To Document,,
IT Infrastructure Operations Support Services (ITIOSS),,17,,Pension Benefit Guaranty Corporation,"1200 K Street, N.W. Washington DC 20005-4026",US,20005-4026,<SNOTE>,R,541519,0adf8163-8a77-11e7-89d0-1cc1de329608,16PBGC-17-ITIOSS,https://www.fbo.gov/spg/PBGC/CMO/PD/16PBGC-17-ITIOSS/listing.html,Chief Management Officer,Procurement Department,20005-4026,091117,0822,Link To Document,"Robert J Hufford, Phone 20232640007476, Email hufford.robert@pbgc.gov - Fiorela Kvalevog, Contracting Officer, Phone 202-326-4160 x3981, Email Kvalevog.Fiorela@pbgc.gov",N/A
Vehicle Safety Equipment,,17,,Department of the Army,BLDG 1 KANSAS ST Natick MA 01760-5011,,,<SNOTE>,59,334290,0adf8150-8a77-11e7-89d0-1cc1de329608,MV00011075464,https://www.fbo.gov/notices/27a38a993c341da8db622e51ceaaa167,Army Contracting Command,ACC - APG (W911QY) Natick (SPS),01760-5011,082517,0822,Link To Document,"Michael W. Vincent, Phone 5082336138, Email michael.w.vincent.civ@mail.mil",
Evaluate MFR Proprietary Components,,17,,Department of the Air Force,308 West D. AverBldg 260rSuite 130 Eglin AFB FL 32542-5418,US,32542,<SNOTE>,J,811219,0adf8148-8a77-11e7-89d0-1cc1de329608,FA2823-17-Q-0089,https://www.fbo.gov/notices/ec66ed3a10d2a73d1ef654c4cb421926,Air Force Materiel Command,AFTC/PZIO - Eglin,32542-5418,083017,0822,Link To Document,"John P. Carroll, Phone 8508820335, Email john.carroll.31@us.af.mil",N/A
Halon Fire Bottle Repair and Maintenance Service,,17,,Department of the Air Force,7858 5th Street Ste 1 Tinker AFB OK 73145-9106,US,73145,<SNOTE>,12,811310,0adf814b-8a77-11e7-89d0-1cc1de329608,F3Y1AA7227AQ02,https://www.fbo.gov/spg/USAF/AFMC/OCALCBC/F3Y1AA7227AQ02/listing.html,Air Force Materiel Command,Tinker AFB - AFSC/PZIO,73145-9106,090517,0822,Link To Document,"Sheridan Robison, Contract Specialist, Phone 405-739-3368, Email sheridan.robison@us.af.mil - Josie Lunderman, Contracting Officer, Phone 405-582-5782, Email josephine.lunderman@us.af.mil",Total Small Business
DES/MEB Clerk,,17,,Department of the Air Force,,DE,,<SNOTE>,Q,621399,0adf8198-8a77-11e7-89d0-1cc1de329608,FA560615C0010,https://www.fbo.gov/notices/79c6e788fb4c585c7056e8f5bb9d1af4,US Air Force Europe,52 CONS,N/A,,0822,Link To Document,"Anja Weber-Sabo, Contracting Officer, Phone 496565619514, Email anja.weber-sabo.1.de@us.af.mil - Katrin Aubart, Contract Specialist, Phone 06565619540, Email katrin.aubart.de@us.af.mil",N/A
ELECTRON GUN DESIGN AND ASSEMBLY,,17,,Department of the Navy,4555 Overlook Ave S.W. Washington DC 20375,US,20375,<SNOTE>,R,541712,0adf8188-8a77-11e7-89d0-1cc1de329608,N00173-17-Q-0304A,https://www.fbo.gov/spg/DON/ONR/3400/N00173-17-Q-0304A/listing.html,Office of Naval Research,Naval Research Laboratory/Supply,20375,082517,0822,Link To Document,"Brandii D King, Phone 202-404-1708, Email brandii.king@nrl.navy.mil - Michelle R. Waters, Contracting Officer, Phone 2027672243, Fax 202-767-6678, Email michelle.waters@nrl.navy.mil",N/A
Naval Air Warfare Center Training Systems Division Special Notice for Naval Air Technical Training Center (NATTC) Contractor Operation and Maintenance Services (COMS),,17,,Department of the Navy,"N61340 Naval Air Warfare Center Training Systems Division 12350 Research Parkway  Orlando, FL",,,<SNOTE>,,541330,0adf8180-8a77-11e7-89d0-1cc1de329608,N6134017R0055,https://www.fbo.gov/spg/DON/NAVAIR/N61339/N6134017R0055/listing.html,Naval Air Systems Command,Naval Air Warfare Center Training Systems Division,32826,,0822,Link To Document,,
Notice of Intent to Award Sole Source,,17,,Department of the Army,BLDG 5303 SPARKMAN CIR Redstone Arsenal AL 35898-5090,,,<SNOTE>,D,511120,0adf8151-8a77-11e7-89d0-1cc1de329608,W31P4Q-17-Q-0116,https://www.fbo.gov/notices/4e1c8c1360c1a06c24720f59763a3f50,Army Contracting Command,ACC - RSA (W31P4Q) Missile,35898-5090,082517,0822,Link To Document,"Eric W. Rogers, Phone 2568768258, Email eric.w.rogers3.civ@mail.mil",
LOMA,,17,,Department of the Army,3909 Halls Ferry Road VICKSBURG MS 39180-6199,US,39180,<SNOTE>,A,541511,0adf8194-8a77-11e7-89d0-1cc1de329608,W81EWF72225812,https://www.fbo.gov/spg/USA/COE/329/W81EWF72225812/listing.html,U.S. Army Corps of Engineers,"USACE ITL, GSL, EL, CHL, Vicksburg",39180-6199,082517,0822,Link To Document,"Robyn D. Wells, Phone 6016345321, Email Robyn.D.Wells@usace.army.mil",Total Small Business
23--TRUCK SERVICE BODY,,17,,Department of Energy,WAPA (RMR)US DOE/WESTERN AREA POWERROCKY MOUNTAIN REGIONAL OFFICE5555 E. CROSSROADS BLVDLOVELANDCO80539-8986US,,,<SNOTE>,25,336211,0adf816b-8a77-11e7-89d0-1cc1de329608,DE-SOL-0011691,https://www.fbo.gov/spg/DOE/PAM/HQ/DE-SOL-0011691/listing.html,Federal Locations,All DOE Federal Contracting Offices,80539,,0822,Link To Document,,
Workshop Engaging Private Sector Healthcare Systems,,17,,Department of Health and Human Services,Office of the Assistant Secretary for Preparedness  Response (ASPR)rDepartment of Health and Human Services r330 Independence Ave. SWrG640 Washington DC 20201,,,<SNOTE>,B,541690,0adf8189-8a77-11e7-89d0-1cc1de329608,17-100-SOL-00031,https://www.fbo.gov/spg/HHS/OOS/OASPHEP/17-100-SOL-00031/listing.html,Office of the Secretary,"Acquisitions Management, Contracts,  Grants (AMCG)",20201,090617,0822,Link To Document,"Carol Matamoro Allen, Contracting Officer, Phone 2022054709, Email carol.allen@hhs.gov",
Telecommunications Planning and Maintenance,09292017,17,,Defense Logistics Agency,ACQUISITION OPERATIONS (J7) r430 MIFFLIN AVENUE SUITE 3102A New Cumberland PA 17070-5008,US,17070,<SNOTE>,D,541519,0adf8166-8a77-11e7-89d0-1cc1de329608,SP330016C0027,https://www.fbo.gov/spg/DLA/J3/DDC/SP330016C0027/listing.html,DLA Acquisition Locations,DLA Distribution,17070-5008,,0822,Link To Document,"Michael R. Smith, Contract Specialist, Phone 717.770.4281, Email michael.smith3@dla.mil",N/A
iNtuition Standard Service Coverage,09302017,17,,Department of the Navy,Bldg 1r34800 Bob Wilson Drive San Diego CA 92134-5000,US,92134-5000,<SNOTE>,J,811212,0adf815e-8a77-11e7-89d0-1cc1de329608,N0025917N0016,https://www.fbo.gov/spg/DON/BUMED/N00259/N0025917N0016/listing.html,Bureau of Medicine and Surgery,Naval Medical Center San Diego,92134-5000,090417,0822,Link To Document,"Reynaldo R. DeVera, Contract Specialist, Phone 6195325564, Email reynaldo.r.devera.civ@mail.mil",N/A
Magnet Forensics AXIOM Software ,,17,,Department of Justice,"935 Pennsylvania Avenue, N.W. Washington DC 20535",,,<SNOTE>,70,334220,0adf816a-8a77-11e7-89d0-1cc1de329608,DJF-17-1100-PR-0009266,https://www.fbo.gov/spg/DOJ/FBI/PPMS1/DJF-17-1100-PR-0009266/listing.html,Federal Bureau of Investigation,Procurement Section,20535,082817,0822,Link To Document,"Montarious Usher, Phone 7039856610, Email mrusher2@fbi.gov",
Q--Intent to Sole Source    ,09212017,17,tracy.worrell@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;VA Sierra Pacific Network (VISN 21);VA Sierra Nevada Health Care System;975 Kirman Avenue;Reno NV  89502-2597,,,<SNOTE>,Q,623110,0adf818d-8a77-11e7-89d0-1cc1de329608,VA26117R0771,https://www.fbo.gov/spg/VA/ReVAMC/VAMCCO80220/VA26117R0771/listing.html,Reno VAMC,Department of Veterans Affairs Medical Center,89502-2597,,0822,tracy.worrell@va.gov,Tracy Worrelltracy.worrell@va.govtracy.worrell@va.gov,
Humpback Whale Research and Database Interpretation,,17,,Department of Commerce,SSMC 3r1315 East West Highway Silver Spring MD 20910,US,02657,<SNOTE>,F,541712,0adf817a-8a77-11e7-89d0-1cc1de329608,NFFM7320-17-03458,https://www.fbo.gov/spg/DOC/NOAA/NMFSJJ/NFFM7320-17-03458/listing.html,National Oceanic and Atmospheric Administration (NOAA),National Marine Fisheries Service,20910,082917,0822,Link To Document,"Susan E. Faux, Phone 508-495-2205, Fax 508-495-2204, Email susan.faux@noaa.gov - Susan  Henderson, Contracting Officer, Phone 508-495-2206, Fax 508-495-2004, Email susan.henderson@noaa.gov",N/A
Survey Software ,,17,,Department of the Army,535 Kearny AverBldg 338 Fort Leavenworth KS 66027,US,66027,<SNOTE>,70,511210,0adf8154-8a77-11e7-89d0-1cc1de329608,0011066939,https://www.fbo.gov/notices/4bc01f27dd8bce3d9ab07c71f9a5fe83,"Army Contracting Command, MICC",MICC - Fort Leavenworth,66027,082817,0822,Link To Document,"Sheldon Wayne Gresham, Phone 9136801622, Email sheldon.w.gresham.civ@mail.mil",N/A
Desktop Alert Special Notice,,17,,Department of the Army,"222 SABRE JET BLVD., RM 107 MARTINSBURG WV 25401-7704",US,25405-7704,<SNOTE>,D,511210,0adf8176-8a77-11e7-89d0-1cc1de329608,SpecialNotice_DesktopAlertFY17,https://www.fbo.gov/spg/USA/NGB/DAHA46-2/SpecialNotice_DesktopAlertFY17/listing.html,National Guard Bureau,"167 MSG/MSC, WV ANG",25401-7704,090617,0822,Link To Document,"Ryan E. Belfield, Contracting Officer, Phone 3046165231, Email ryan.e.belfield.mil@mail.mil",Total Small Business
Notice of Intent to Award Sole Source  Redacted JA For Allergy Serum Supplies,,17,,Department of the Army,ATTN:  MCAA GP L31 9Vr2539 GARDEN AVENUE JBSA FT SAM HOUSTON  TX 78234-0000,US,65473-5000,<SNOTE>,65,325412,0adf8195-8a77-11e7-89d0-1cc1de329608,0011026411,https://www.fbo.gov/spg/USA/MEDCOM/DADA09/0011026411/listing.html,U.S. Army Medical Command,REGIONAL HEALTH CONTRACT OFF CENTRAL,78234-0000,082917,0822,Link To Document,"Karan E Quiles, Phone 2542856744, Email karan.e.quiles.civ@mail.mil",N/A
Continuous Boiler Emissions System Support,,17,,Department of the Air Force,2310 Central Ave Eielson AFB AK 99702,US,99702,<SNOTE>,D,334513,0adf818b-8a77-11e7-89d0-1cc1de329608,F1U3C57090A002,https://www.fbo.gov/spg/USAF/PAF/354CONS/F1U3C57090A002/listing.html,Pacific Air Forces,354 CONS - Eielson,99702,090117,0822,Link To Document,"Joshua Largent, Contract Aministrator, Phone 9073771242, Email joshua.largent@us.af.mil - Nicholas Muche, Contracting Officer, Phone 9073773485, Email Nicholas.muche@us.af.mil",N/A
Repair SLRTIs,,17,,Department of the Air Force,9 Eglin Street Hanscom AFB MA 01731,,,<SNOTE>,J,811219,0adf8142-8a77-11e7-89d0-1cc1de329608,FA8307-17-R-0217,https://www.fbo.gov/spg/USAF/AFMC/ESC/FA8307-17-R-0217/listing.html,Air Force Materiel Command,AFLCMC - Hanscom,01731,082917,0822,Link To Document,"Nancy A Kerr, Contract Specialist, Phone 210-977-5396, Email nancy.kerr.1@us.af.mil - Christina L. Barr, Contracting Officer, Phone 2109775485, Email christina.barr.2@us.af.mil",
Notice of Intent to Sole Source_Transducer,,17,,Department of the Interior,"Denver Federal CenterrBuilding 67, Room 380r Denver CO 80225",,,<SNOTE>,59,334515,0adf8160-8a77-11e7-89d0-1cc1de329608,R17PS01464,https://www.fbo.gov/notices/7252ee0aad3be8b16bd8205567ebddfe,Bureau of Reclamation,BOR - All Offices,80225,082917,0822,Link To Document,"Frank Palmer, Phone (303) 445-3038, Email fpalmer@usbr.gov",
TCG BOSS Software Upgrade,,17,,Department of the Air Force,5 S WOLFE AVE Edwards AFB CA 93524-1185,US,93524,<SNOTE>,70,511210,0adf8149-8a77-11e7-89d0-1cc1de329608,F1S0AW7181B001-SOCA,https://www.fbo.gov/spg/USAF/AFMC/AFFTC/F1S0AW7181B001-SOCA/listing.html,Air Force Materiel Command,HQ Air Force Test Center (AFTC) - Edwards,93524-1185,082817,0822,Link To Document,"Daniel Onorato, Phone 6612772537, Email daniel.onorato.1@us.af.mil",N/A
65--PROSTHETICS-PORTLAND - VAN CONVERSION    ,09212017,17,BRIAN.MILLINGTON@VA.GOV,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office 20;5115 NE 82nd Ave, Suite 102;Vancouver WA  98662",,,<SNOTE>,65,339113,0adf818f-8a77-11e7-89d0-1cc1de329608,,https://www.fbo.gov/notices/288dff023aea4c66c72b1bb6bc75fb7a,Seattle VAMC,Department of Veterans Affairs Puget Sound Health Care System,98662,,0822,BRIAN.MILLINGTON@VA.GOV,BRIAN L MILLINGTONBRIAN.MILLINGTON@VA.GOV,
R--AMA CPT License Renewal  (VA-17-900922)   ,10212017,17,Clayton.Smith2@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Program Contracting Activity Central;6150 Oak Tree Blvd, Suite 300;Independence OH  44131",,,<SNOTE>,R,511120,0adf819c-8a77-11e7-89d0-1cc1de329608,,https://www.fbo.gov/notices/8e91d3790cbb9cfd16ebf18d136138a6,VA Office of Information Service Center,Department of Veterans Affairs Office of Information Service Center,44131,,0822,Clayton.Smith2@va.gov,Clayton SmithClayton.Smith2@va.govClayton.Smith2@va.gov,
