<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
Skiatook Lab Rehab,,17,,Department of the Army,Attn:  CESWT- CTr1645 South 101st East Avenue Tulsa OK 74128-4609,US,74070,<AMDCSS>,Z,236220,0bb80166-8a77-11e7-89d0-1cc1de329608,W912BV17R0060,https://www.fbo.gov/spg/USA/COE/DACA56/W912BV17R0060/listing.html,U.S. Army Corps of Engineers,"USACE District, Tulsa",74128-4609,083017,Link To Document,COMBINE  ,0822,"Sina C. Sullivan, Contract Specialist, Phone 9186697279, Email sina.c.sullivan@usace.army.mil - Diane Cianci, Contracting Officer, Phone 9186697458, Email diane.cianci@usace.army.mil",Total Small Business
Bone Densitometer,09302017,17,,Department of the Army,"Attn:  MCMR-AAAr820 Chandler Street Frederick, MD 21702-5014 MD 21702-5014",US,,<AMDCSS>,65,339112,0bb8016a-8a77-11e7-89d0-1cc1de329608,W81XWH-17-T-0313,https://www.fbo.gov/spg/USA/USAMRAA/DAMD17/W81XWH-17-T-0313/listing.html,U.S. Army Medical Research Acquisition Activity,U.S. Army Medical Research Acquisition Activity,21702-5014,082417,Link To Document,COMBINE  ,0822,"BRIAN MILLER, Email brian.d.miller1.civ@mail.mil",N/A
84--Tube Socks and Mens Briefs,03072018,17,,Department of Homeland Security,"Immigration  Customs Enforcement, Washington, DC 20536",US,78566,<AMDCSS>,84,,0bb8010b-8a77-11e7-89d0-1cc1de329608,192117FAO00000167,https://www.fbo.gov/spg/DHS/INS/COW/192117FAO00000167/listing.html,Immigration  Customs Enforcement,"Headquarters Procurement Division, Wash DC",22030,090817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
Missile COMM Sliding Shelves,,17,,Department of the Air Force,165 Missile Avenue Minot AFB ND 58705-5027,US,58705,<AMDCSS>,71,337215,0bb80089-8a77-11e7-89d0-1cc1de329608,FA4528-17-Q-DA27,https://www.fbo.gov/notices/2cffdf098b20d77237604a54dbd1d8b5,Air Force Global Strike Command,5 CONS,58705-5027,090117,Link To Document,COMBINE  ,0822,"Dakota L. Asselyn, Phone 7017233056, Email dakota.asselyn@us.af.mil - James E. Moore, Contracting Officer, Phone 7017234180, Email james.moore.45@us.af.mil",Total Small Business
WPAFB Investigations and Operations CaseCracker Systems,,17,,Department of the Air Force,2275 D Street Wright-Patterson AFB OH 45433-7218,US,,<AMDCSS>,70,334310,0bb8008a-8a77-11e7-89d0-1cc1de329608,FA8601-17-T-0207,https://www.fbo.gov/spg/USAF/AFMC/ASC/FA8601-17-T-0207/listing.html,Air Force Materiel Command,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",45433-7218,082817,Link To Document,COMBINE  ,0822,"Joseph D. Cox, Phone 9375224520, Email joseph.cox.19@us.af.mil",N/A
10--TSK BLACKLINE GRIP STOCK,02212018,17,,Department of the Army,"7031 BILLS STREET, FORT BENNING, GA 31905",US,31905,<AMDCSS>,10,,0bb800d7-8a77-11e7-89d0-1cc1de329608,BENNINGUSAMUJLR0814201702,https://www.fbo.gov/notices/b7d4905fdea1e505470fb9effa58939f,FedBid,FedBid.com -- for Department of Army procurements only,22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Replace Locomotive Engine,,17,,Department of the Air Force,101 E. Hill BlvdrBldg 503 Charleston AFB SC 29404-5021,US,29445,<AMDCSS>,22,336510,0bb80096-8a77-11e7-89d0-1cc1de329608,F1M3T47208AW01,https://www.fbo.gov/spg/USAF/AMC/437CONS/F1M3T47208AW01/listing.html,Air Mobility Command,628th CONS,29404-5021,090717,Link To Document,COMBINE  ,0822,"Aubreigh B. Sumner, Phone 8439635162, Email aubreigh.sumner@us.af.mil",Total Small Business
Lodging Accommodations,,17,,Department of the Air Force,1940 ALLBROOK DRIVE WRIGHT-PATTERSON AFB OH 45433-5309,,,<AMDCSS>,X,721110,0bb8008b-8a77-11e7-89d0-1cc1de329608,FA860117R0065,https://www.fbo.gov/spg/USAF/AFMC/88 CONS/FA860117R0065/listing.html,Air Force Materiel Command,AFLCMC/PZIO - WPAFB,45433-5309,090117,Link To Document,COMBINE  ,0822,"Terra R. Rivera, Contract Specialist, Phone 9375224630, Email terra.rivera@us.af.mil - Toxie Courtney III, Contracting Officer, Phone 937-522-4568, Email Toxie.Courtney.1@us.af.mil",
"59--Procurement, removal, and Installation of Hydraulic Pump Unit for Annex Barrier.",10052017,17,,Department of the Navy,"N40192 NAVFAC MARIANAS PSC 455, BOX 195 FPO AP 96540-2937 BLDG 101, RTE 1 MARINE DRIVE  Santa Rita, GU, ",US,96915,<AMDCSS>,59,333996,0bb8013c-8a77-11e7-89d0-1cc1de329608,N4019217Q4961,https://www.fbo.gov/spg/DON/NAVFAC/N62766/N4019217Q4961/listing.html,Naval Facilities Engineering Command,NAVFAC Marianas,96540,090517,Link To Document,COMBINE  ,0822,Geminiano E. Ignacio 671-339-5188 Dante SerneoContracting Officer671-339-5120,N/A
Paper Supplies,,17,,Department of Justice,None Washington DC 20537,US,22152,<AMDCSS>,93,424110,0bb800d3-8a77-11e7-89d0-1cc1de329608,DJD-17-Q-0137,https://www.fbo.gov/spg/DOJ/DEA/OAM/DJD-17-Q-0137/listing.html,Drug Enforcement Administration,Office of Acquisition Management,20537,080717,Link To Document,COMBINE  ,0803,"Karl Pabst, Email Karl.S.Pabst@usdoj.gov",Total Small Business
Environmental Consulting Services,08292017,17,,Department of Agriculture,316 West Boone AvenueSuite 568 Spokane WA 99201-2350,US,20250,<AMDCSS>,C,541620,0bb800d5-8a77-11e7-89d0-1cc1de329608,AG-3151-S-17-0037,https://www.fbo.gov/spg/USDA/FSA/WA062001/AG-3151-S-17-0037/listing.html,Farm Service Agency,Washington State Office,99201-2350,082417,Link To Document,COMBINE  ,0822,"Douglas J. Joyner, Phone 2027729074, Email douglas.joyner@wdc.usda.gov - Billy Rowland, Contracting Specailist, Email billy.rowland@wdc.usda.gov",Competitive 8(a)
CBRN Response Enterprise Exercise Support Services,,17,,Department of the Army,Joint Forces Readiness Center-Building 30r3423 North Martin Luther King Jr. BLVD.r Lansing MI 48906-2934,US,48906,<AMDCSS>,R,541990,0bb8011f-8a77-11e7-89d0-1cc1de329608,W912JB17T2048,https://www.fbo.gov/spg/USA/NGB/DAHA20/W912JB17T2048/listing.html,National Guard Bureau,USPFO for Michigan,48906-2934,082417,Link To Document,COMBINE  ,0822,"Amanda E. Geissler, Contract Specialist, Phone 5174817849, Email amanda.e.geissler.civ@mail.mil",Total Small Business
70--AgiSoft PhotoScan Professional Edition,09212017,17,,Department of the Interior,BLM OC NOC INFASTRUCTURE SEC(OC662)DENVER FEDERAL CENTERBUILDING 50PO BOX 25047DENVERCO80225US,,,<AMDCSS>,70,511210,0bb800bc-8a77-11e7-89d0-1cc1de329608,L17PS01169,https://www.fbo.gov/spg/DOI/BLM/NCR/L17PS01169/listing.html,Bureau of Land Management,National Centers Region,80225,090617,Link To Document,COMBINE  ,0822,"Quinones, Kirsten",
"F--VISN 8-Services-Environmental Services for the VA Cariibean Healthcare System, San Juan, Pr   ",09182017,17,mary.gugliano@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;VA Caribbean Healthcare System;Administrative Building;#10 Calle Casia Suite #4M440;San Juan PR  00921-3201,Puerto Rico,00921-3201,<AMDCSS>,F,541620,0bb8017f-8a77-11e7-89d0-1cc1de329608,VA24817Q1430,https://www.fbo.gov/spg/VA/SJVAMC672/SJVAMC672/VA24817Q1430/listing.html,VA Caribbean Health Care System,Department of Veterans Affairs Caribbean Health Care System,00921-3201,082417,mary.gugliano@va.gov,COMBINE  ,0822,Mary Jane GuglianoContracting Officer787-641-7582 ext 34956mary.gugliano@va.gov,Service-Disabled Veteran-Owned Small Business
Visual Electrophysiology System,,17,,Department of the Air Force,8110 Industrial DriverSuite 200 USAF Academy CO 80840-2315,US,45433,<AMDCSS>,65,339112,0bb800ca-8a77-11e7-89d0-1cc1de329608,FA7000-17-T-0065,https://www.fbo.gov/spg/USAF/DRU/10ABWLGC/FA7000-17-T-0065/listing.html,Direct Reporting Units,USAF Academy - 10 CONS,80840-2315,083017,Link To Document,COMBINE  ,0822,"Kelly Reyes, Phone 7193338065, Email kelly.reyes.4@us.af.mil - Jerry B. Smith, Contracting Officer, Phone 719338267, Fax 719-333-9075, Email jerry.smith.25@us.af.mil",N/A
71--FURNITURE,02242018,17,,Department of the Army,"650 HUEBNER ROAD, FORT RILEY, KS 66442",US,66442,<AMDCSS>,71,,0bb800f5-8a77-11e7-89d0-1cc1de329608,RILEYMEDAACRN0001,https://www.fbo.gov/notices/cc83cc9ce97f0f81ef202793e5c78ce9,FedBid,FedBid.com -- for Department of Army procurements only,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
70--DMARTS,02202018,17,,Department of Homeland Security,"395 E St., SW, Washington, DC 20472",US,20135,<AMDCSS>,70,,0bb80103-8a77-11e7-89d0-1cc1de329608,WX04403Y2017T,https://www.fbo.gov/spg/DHS/FEMA/PP5-2/WX04403Y2017T/listing.html,Federal Emergency Management Agency,Acquisition Operations Division (AOD),22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Design and Installation of Nadir Research Portals in a NASA Gulfstream C-20B Aircraft,,17,,National Aeronautics and Space Administration,"NASA/Langley Research Center, Mail Stop 144Industry Assistance Office Hampton VA 23681-0001",,,<AMDCSS>,15,336411,0bb8010d-8a77-11e7-89d0-1cc1de329608,NNL17637308Q,https://www.fbo.gov/spg/NASA/LaRC/OPDC20220/NNL17637308Q/listing.html,Langley Research Center,Office of Procurement,23681-0001,090117,Link To Document,COMBINE  ,0822,"Peyton N. Farley, Contract Specialist , Email peyton.n.farley@nasa.gov - Deborah L. Ford, Contract Specialist, Email Deborah.L.Ford@nasa.gov",
"Blast Resistant Windows for Building A, 1st  2nd Floor",09022017,17,,Government Publishing Office,"732 North Capitol Street, NW Washington DC 20401",US,20401,<AMDCSS>,Z,236220,0bb8007e-8a77-11e7-89d0-1cc1de329608,GPO040ADV-17-R-0033,https://www.fbo.gov/spg/GPO/PSPSD/WashingtonDC/GPO040ADV-17-R-0033/listing.html,Acquisition Services,Acquisition Services,20401,090117,Link To Document,COMBINE  ,0822,"Spencer D. Morgan, Phone 2025120966, Email smorgan@gpo.gov",N/A
