AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Department of Agriculture,b6795fa9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,AG-84N8-D-17-0050,17,Forest Service,AG-84N8-S-17-0174,R-4 Utah Acquisition Support Center,AWARD,0810
Department of Commerce,b6795ff1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),SB1341-17-RQ-0808,Acquisition Management Division,COMBINE  ,0802
Department of Veterans Affairs,b6796125-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northwest Health Network,VA26017Q0541,VA Northwest Health Network,PRESOL,0719
Defense Logistics Agency,b635f9c9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBW54,DLA Aviation - BSM,COMBINE  ,0718
Department of State,b679608a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Near Eastern Posts,S-LE200-17-R-0002,"U.S. Embassy Beirut, Lebanon",PRESOL,0418
Department of the Army,b635f901-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,MARKET-SURVEY-6209-1,ACC - APG (W15P7T) Division B,SRCSGT,0720
Department of Veterans Affairs,b679612d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Southern Arizona Health Care System,VA25817R0231,Department of Veterans Affairs Southern Arizona Health Care System,SRCSGT,0612
Defense Information Systems Agency,b67960b2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Procurement Directorate,HC102117QA124,DITCO-Europe,COMBINE  ,0711
Social Security Administration,b6796098-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Office of Budget, Finance, Quality and Management",SSA-RFQ-17-1478,Office of Acquisition and Grants,COMBINE  ,0807
Department of the Navy,b6796087-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038315G010H7019,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Defense Logistics Agency,b6795f3f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MC17TQ268,DLA Land and Maritime - BSM,COMBINE  ,0706
Other Defense Agencies,b6796137-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Washington Headquarters Services,HQ003417T0034,"WHS, Acquisition Directorate",PRESOL,0707
Department of Agriculture,b635f8be-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Agricultural Research Service,AG-3JL0-S-17-0010,Northeast Area,COMBINE  ,0803
Department of the Navy,b6796023-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Facilities Engineering Command,N3943017R1961,NAVFAC EXWC Port Hueneme,COMBINE  ,0731
Defense Logistics Agency,b635f9bf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PH781,17,DLA Acquisition Locations,SPE4A617TF266,DLA Aviation - BSM,AWARD,0810
Department of the Navy,b67960a2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Naval Research,N00173-17-Q-0300,Naval Research Laboratory/Supply,COMBINE  ,0726
Department of Veterans Affairs,b67960c2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Sioux Falls VAMROC,VA26317Q0916,Department of Veterans Affairs Medical and Regional Office Center,COMBINE  ,0719
Department of the Army,b635f921-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, ECC",W564KV-17-T-CONT,409th CSB (W564KV) TCC-Kaiserslautern,SRCSGT,0803
Department of Veterans Affairs,b6796120-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117N0837,Department of Veterans Affairs No. California Health Care System System,SRCSGT,0721
Department of the Navy,b635f955-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Medicine and Surgery,N68908-17-R-0120,Navy Medicine East,SNOTE,0725
Department of the Navy,b6796077-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA854013D0002GCAD,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of the Army,b635f930-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SD-17-T-0425,MICC - West Point,SRCSGT,0803
Department of the Army,b6795fe0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,F8R2MG7187AW01,"171 MSG/MSC, PA ANG",COMBINE  ,0720
National Aeronautics and Space Administration,b6795fd8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0225,Simplified Acquisitions,COMBINE  ,0807
Department of Veterans Affairs,b6795fc6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217Q1441,Department of Veterans Affairs,COMBINE  ,0719
National Science Foundation,b635f98c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,NSFDACS17P1293,17,Division of Acquisition and Cooperative Support,NSFDACS17P9999,DACS,AWARD,0811
Department of the Navy,b6796053-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYY35,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0719
Department of the Air Force,b635f8c9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA4890-17-C-0011,17,Air Combat Command,FA4890-17-R-0009,AMIC CONTRACTING OFFICE,AWARD,0810
Department of the Air Force,b67960b0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5000-17-T-0116,673 CONS - Elmendorf,COMBINE  ,0711
Department of the Air Force,b635f8d9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA860417F2105P00001,17,Air Force Materiel Command,null,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",AWARD,0810
Department of the Interior,b635f948-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,L17PX01013,17,Bureau of Land Management,null,Colorado Region,AWARD,0810
Department of the Air Force,b67960ae-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5209-17-Q-0042,374 CONS - Yokota,SRCSGT,0716
Defense Logistics Agency,b6795f5a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M417R0055,DLA Land and Maritime - BSM,SRCSGT,0803
Department of the Air Force,b635f8d0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Global Strike Command,FA4608-17-Q-S942,2 CONS,COMBINE  ,0726
Department of Energy,b6795f93-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Locations,DE-SOL-0011278,All DOE Federal Contracting Offices,PRESOL,0519
Department of the Navy,b679605b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QND56,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0629
Defense Information Systems Agency,b67960b5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,HC101317PB038,17,Procurement Directorate,HC101317QA797,DITCO-Scott,AWARD,0810
Department of the Interior,b679600d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS07F9253S/P17PD02361,17,National Park Service,null,NPS - All Offices,AWARD,0810
Consumer Product Safety Commission,b635f98d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Division of Procurement Services,CPSC-Q-17-0084,Division of Procurement Services,COMBINE  ,0712
Department of the Treasury,b635f93d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Engraving and Printing,2031ZA-17-0002335,Office of Acquisition,COMBINE  ,0807
Department of the Army,b67960eb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Command,W81K00-17-P-0413,REGIONAL HEALTH CONTRACT OFF CENTRAL,SNOTE,0804
Defense Logistics Agency,b6795f23-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE60017P6178,17,DLA Acquisition Locations,null,DLA Energy,AWARD,0810
Department of the Army,b635f919-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W58RGZ16D00580003,17,Army Contracting Command,null,ACC - RSA (W58RGZ) Aviation,AWARD,0811
Defense Logistics Agency,b6795f2b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations, CL17213002_MARKET_RESEARCH_PROJECT,DLA Land and Maritime,SRCSGT,0803
Government Publishing Office,b635f975-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Customer Services Department,3351s,Hampton Regional Printing Procurement Office,COMBINE  ,0728
Department of the Air Force,b635f8d2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA4528-17-P-0053,17,Air Force Global Strike Command,FA4528-17-Q-0038,5 CONS,AWARD,0811
Department of the Navy,b679607f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRPA117QX620,NAVSUP Weapon Systems Support Philadelphia PA,SRCSGT,0809
Defense Logistics Agency,b635f9d9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDN51,DLA Aviation - BSM,COMBINE  ,0718
Department of the Air Force,b635f8c4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Combat Command,FA487717Q0306,355 CONS,COMBINE  ,0721
Department of Health and Human Services,b635f964-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,2017-13893,Acquisition and Assistance Field Branch (Pittsburgh),COMBINE  ,0802
General Services Administration,b6795f8c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GSQ0817BP0039,17,Federal Acquisition Service (FAS),ID08160077,"Federal Acquisition Service, Region 8 (8Q)",AWARD,0726
Department of the Treasury,b635f973-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Comptroller of the Currency (OCC),CC2017SS001,Acquisition Management (AQM),SRCSGT,0728
Department of the Army,b67960e7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W81EWF71981379,"USACE ITL, GSL, EL, CHL, Vicksburg",SNOTE,0731
Department of the Interior,b6796003-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,P17PX02297,17,National Park Service,null,NPS - All Offices,AWARD,0810
Department of Veterans Affairs,b6795fc5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217N1215,Department of Veterans Affairs,SRCSGT,0623
Department of the Navy,b6796044-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0274,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Department of the Air Force,b635f8b8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,AFICA,FA564117T0008,AFICA- EUROPE,COMBINE  ,0802
Department of Veterans Affairs,b6796129-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Rocky Mountain Consolidated Contracting Center,VA25917Q0827,Department of Veterans Affairs,COMBINE  ,0719
Department of Homeland Security,b635f96e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Citizenship  Immigration Services,70SBUR-18-Q-00000000 ,USCIS Contracting Office,COMBINE  ,0731
Department of the Interior,b67960d2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U. S. Geological Survey,G17PS00848,USGS - All Offices,SRCSGT,0803
Department of the Interior,b6796006-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,null,NPS - All Offices,FAIROPP,0726
Defense Logistics Agency,b6795f3e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M317T6364,DLA Land and Maritime - BSM,COMBINE  ,0705
Department of Veterans Affairs,b6796118-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA National Consolidated Mail Outpatient ,VA77017Q0377,VA National Consolidated Mail Out Pharmacy,PRESOL,0623
Department of the Navy,b6796056-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYK70,NAVSUP Weapon Systems Support Mechanicsburg PA,JA,0815
Department of Veterans Affairs,b6796111-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Black Hills Health Care System,VA26317Q0586,Department of Veterans Affairs Black Hills Health Care System,COMBINE  ,0516
Defense Logistics Agency,b6795f6d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5E717TC233,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Defense Logistics Agency,b635f999-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R1295,DLA Aviation - BSM,SRCSGT,0808
Other Defense Agencies,b6796136-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Washington Headquarters Services,BOM072620171725,"WHS, Acquisition Directorate",SNOTE,0726
Department of the Navy,b6796068-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117RYN46,NAVSUP Weapon Systems Support Mechanicsburg PA,JA,0815
Department of the Army,b635f985-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Logistics Agency Detachment,SPRDL1-17-R-0312,DLA TACOM - Warren Acquisition Center,COMBINE  ,0609
Department of the Navy,b6796035-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0016417Q0104,NSWC Crane Division,COMBINE  ,0706
Department of the Navy,b679601e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616T0297,Naval Air Warfare Center Weapons Division,PRESOL,0725
Department of Veterans Affairs,b6795faf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,VA24617Q1096,Department of Veterans Affairs Medical Center,SRCSGT,0518
Department of Veterans Affairs,b635f96c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Charleston VAMC,VA24717Q0756,Department of Veterans Affairs Medical Center,PRESOL,0721
Defense Logistics Agency,b635f9aa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G00110851,17,DLA Acquisition Locations,SPE4A517T9620,DLA Aviation - BSM,AWARD,0810
Department of Commerce,b67960ce-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U. S. Census Bureau,COM-17-0077D,Acquisition Division,COMBINE  ,0807
Defense Logistics Agency,b635f98f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TCU28,DLA Aviation - BSM,COMBINE  ,0705
Department of the Air Force,b635f8d3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA873017F0178P00002,17,Air Force Materiel Command,null,AFLCMC - Hanscom,AWARD,0810
Defense Logistics Agency,b635f9b3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PH940,17,DLA Acquisition Locations,SPE4A617TB084,DLA Aviation - BSM,AWARD,0810
Department of Veterans Affairs,b6796090-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA244-17-D-0270,17,Network Contracting Office 4,VA24417Q0813,Veterans Integrated Service Network 4 Facilities,AWARD,0726
Department of Veterans Affairs,b6796117-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA National Consolidated Mail Outpatient ,VA77017Q0419,VA National Consolidated Mail Out Pharmacy,PRESOL,0724
Defense Logistics Agency,b635f9ce-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1339,DLA Aviation - BSM,PRESOL,0810
Department of Veterans Affairs,b635f939-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bronx VAMC (NAL),VA24217N0771,Department of Veterans Affairs,SRCSGT,0618
Department of Agriculture,b6795fa5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-8544-S-17-0008,R-2 Shoshone National Forest,COMBINE  ,0519
Department of Homeland Security,b67960ff-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG4017QAG550,USCG Surface Forces Logistics Center (SFLC) Procurement Branch 1,COMBINE  ,0803
Department of the Army,b67960ef-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Research Acquisition Activity,null,U.S. Army Medical Research Acquisition Activity,FAIROPP,0726
Department of Agriculture,b6795fa7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,12819718Q0001,R-3 Southwestern Region/Apache_Sitgreaves,COMBINE  ,0808
Defense Logistics Agency,b635f9a8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBV99,DLA Aviation - BSM,COMBINE  ,0718
Department of Veterans Affairs,b6795fc7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217R0537,Department of Veterans Affairs,COMBINE  ,0710
Department of the Navy,b679605f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010417CNA01,17,Naval Supply Systems Command,N0010416RNB87,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0726
Defense Logistics Agency,b6795f30-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7L517R0029,DLA Land and Maritime,SRCSGT,0801
Department of the Navy,b6796013-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N68335-17-R-0004,Naval Air Warfare Center Aircraft Division Lakehurst,PRESOL,1102
Defense Logistics Agency,b635f9d7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717U0285,DLA Aviation - BSM,COMBINE  ,0718
Department of the Navy,b6796046-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0212,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Department of Health and Human Services,b6795ff6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,NICHD-17-260,"Natl Institute of Diabetes, Digestive,  Kidney Diseases",COMBINE  ,0818
Department of the Navy,b6796086-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0038316G004F0770,NAVSUP Weapon Systems Support Philadelphia PA,PRESOL,0809
Department of the Navy,b679606c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QFG55,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0710
Department of the Army,b635f91d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W56HZV15D00470009,17,Army Contracting Command,null,ACC - WRN (W56HZV)(DTA),AWARD,0810
Department of the Army,b6795fdf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,National Guard Bureau,W91242-17-R-0001,"145 MSG/MSC, NCANG",COMBINE  ,1118
Defense Logistics Agency,b6795f54-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M517PE022,17,DLA Acquisition Locations,SPE7M517T9314,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b635f9d2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A7-17-R-1292,DLA Aviation - BSM,PRESOL,0801
Department of the Interior,b635f951-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,L17PX01147,17,Bureau of Land Management,L17PS00790,Nevada Region,AWARD,0810
Defense Logistics Agency,b6795f1d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SP3300-17-Q-0098,DLA Distribution,COMBINE  ,0803
Department of the Army,b635f986-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRDL117D00760002,17,Defense Logistics Agency Detachment,null,DLA TACOM - Warren Acquisition Center,AWARD,0810
Department of Veterans Affairs,b6796116-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA National Cemetery Administration Centralized Contracting Division,VA78617N0571,Department of Veterans Affairs National Cemetery Administration,SRCSGT,0623
Department of the Air Force,b635f8d4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,SPRHA4-17-R-0798,AFLCMC / AFSC / AFNWC - HILL AFB,PRESOL,0306
Department of Veterans Affairs,b679610f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Ann Arbor Health Care System,VA25017Q0725,Department of Veterans Affairs Ann Arbor Health Care System,COMBINE  ,0621
National Aeronautics and Space Administration,b6795fd2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0215,Simplified Acquisitions,COMBINE  ,0807
Department of the Navy,b6796078-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Supply Systems Command,SPRPA116RX256,NAVSUP Weapon Systems Support Philadelphia PA,SRCSGT,0614
Department of the Interior,b6795f97-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fish and Wildlife Service,F17PS01102,CGS-WO,PRESOL,0801
Defense Logistics Agency,b6795f2d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7M117R0033,DLA Land and Maritime,SRCSGT,0804
Department of the Air Force,b635f8dc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA8601-17-R-0053,AFLCMC/PZIO - WPAFB,PRESOL,0802
Department of Veterans Affairs,b6796130-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Technology Acquisition Center(Austin),null,VA TAC Austin,JA,0628
Department of the Interior,b6795fb9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Interior Business Center,D17PS00731,AQD - Washington D.C.,PRESOL,0801
