ZIP_CODE,CONTRACTING_OFFICE_CODE,DEPARTMENT_NAME,ADDRESS_STATE,ADDRESS_CITY,label,START_DATE,CONTRACTING_OFFICE_NAME,COUNTRY_CODE,iname,AGENCY_NAME,AGENCY_CODE
58501,140R62,"INTERIOR, DEPARTMENT OF THE",ND,BISMARCK,contracting_office,04/01/2016 00:00:00,DAKOTAS AREA OFFICE,USA,bb30c108-89d1-11e7-89d0-1cc1de329608,BUREAU OF RECLAMATION,1425
98001,47QRAC,GENERAL SERVICES ADMINISTRATION,WA,AUBURN,contracting_office,04/01/2016 00:00:00,GSA/FAS/PSHC/SMARTPAY,USA,bb6fbd02-89d1-11e7-89d0-1cc1de329608,FEDERAL ACQUISITION SERVICE,4732
64106,1333MJ,"COMMERCE, DEPARTMENT OF",MO,KANSAS CITY,contracting_office,04/01/2016 00:00:00,DEPT OF COMMERCE NOAA,USA,bb2c8f98-89d1-11e7-89d0-1cc1de329608,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,1330
20737,12329D,"AGRICULTURE, DEPARTMENT OF",MD,RIVERDALE,contracting_office,04/01/2016 00:00:00,USDA  APHIS  MRP-BS ITD,USA,bb0aae28-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
85212,36F258,"VETERANS AFFAIRS, DEPARTMENT OF",AZ,MESA,contracting_office,04/01/2016 00:00:00,258F-NCO 18 NON VA CARE(00258F),USA,bb6769be-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
93550,S0526A,DEPT OF DEFENSE,CA,PALMDALE,contracting_office,10/01/2004 00:00:00,DCMA PALMDALE,USA,bbb35874-89d1-11e7-89d0-1cc1de329608,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),9763
43236-0623,12551S,"AGRICULTURE, DEPARTMENT OF",OH,COLUMBUS,contracting_office,04/01/2016 00:00:00,USDA  APHIS  PPQ,USA,bb1bb3d6-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
87504-0728,140P13,"INTERIOR, DEPARTMENT OF THE",NM,SANTA FE,contracting_office,04/01/2016 00:00:00,IMR SANTA FE(12100),USA,bb30c220-89d1-11e7-89d0-1cc1de329608,NATIONAL PARK SERVICE,1443
60141,36N797,"VETERANS AFFAIRS, DEPARTMENT OF",IL,HINES,contracting_office,04/01/2016 00:00:00,DEPARTMENT OF VETERANS AFFAIRS,USA,bb676a0e-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
16801,363630,"VETERANS AFFAIRS, DEPARTMENT OF",PA,STATE COLLEGE,contracting_office,04/01/2016 00:00:00,DEPARTMENT OF VETERANS AFFAIRS,USA,bb5adc56-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
92154,1296F1,"AGRICULTURE, DEPARTMENT OF",CA,SAN DIEGO,contracting_office,04/01/2016 00:00:00,USDA APHIS PPQ SITC,USA,bb242792-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
58501,1287BJ,"AGRICULTURE, DEPARTMENT OF",ND,BISMARCK,contracting_office,04/01/2016 00:00:00,USDA FS  DAKOTA PRAIRIE GRASSLANDS,USA,baed3eb6-89d1-11e7-89d0-1cc1de329608,FOREST SERVICE,12C2
07102,362203,"VETERANS AFFAIRS, DEPARTMENT OF",NJ,NEWARK,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS,USA,bb56a834-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
20560,333122,SMITHSONIAN INSTITUTION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,OFFICE OF VISITOR SERVICES,USA,bb5276ae-89d1-11e7-89d0-1cc1de329608,SMITHSONIAN INSTITUTION,3300
30602,1243LJ,"AGRICULTURE, DEPARTMENT OF",GA,ATHENS,contracting_office,04/01/2016 00:00:00,USDA  APHIS  WS,USA,bb132164-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
,952416,BROADCASTING BOARD OF GOVERNORS,,DOKKI CAIRO,contracting_office,04/01/2016 00:00:00,"BBG, VOA CAIRO BUREAU",EGY,bb88cf96-89d1-11e7-89d0-1cc1de329608,BROADCASTING BOARD OF GOVERNORS,9568
72214,1247BZ,"AGRICULTURE, DEPARTMENT OF",AR,LITTLE ROCK,contracting_office,04/01/2016 00:00:00,USDA AMS DAIRY DIV MILK MARKET ADMN,USA,bafe0bd2-89d1-11e7-89d0-1cc1de329608,AGRICULTURAL MARKETING SERVICE,12K2
26101,203410,"TREASURY, DEPARTMENT OF THE",WV,PARKERSBURG,contracting_office,04/01/2016 00:00:00,ARC DIV PROC SVCS - OIG,USA,bb527486-89d1-11e7-89d0-1cc1de329608,BUREAU OF THE FISCAL SERVICE,2036
32542-6892,FA8677,DEPT OF DEFENSE,FL,EGLIN AFB,contracting_office,10/01/2011 00:00:00,FA8677  AFLCMC EBSK,USA,bbb35604-89d1-11e7-89d0-1cc1de329608,DEPT OF THE AIR FORCE,5700
20520,19HA70,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,AMERICAN EMBASSY PORT-AU-PRINCE,USA,bb4a05be-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
36602,15M003,"JUSTICE, DEPARTMENT OF",AL,MOBILE,contracting_office,04/01/2016 00:00:00,"U.S. DOJ, USM, S/AL",USA,bb418164-89d1-11e7-89d0-1cc1de329608,U.S. MARSHALS SERVICE,1544
22209,90MC00,SELECTIVE SERVICE SYSTEM,VA,ARLINGTON,contracting_office,04/01/2016 00:00:00,SELECTIVE SERVICE SYSTEM (SSS),USA,bb88cd96-89d1-11e7-89d0-1cc1de329608,SELECTIVE SERVICE SYSTEM,9000
43218-3990,SPM7M4,DEPT OF DEFENSE,OH,COLUMBUS,contracting_office,10/01/2005 00:00:00,DLA LAND AND MARITIME SUPPLIER,USA,bbbfff5e-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
20405,47BG00,GENERAL SERVICES ADMINISTRATION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,OFC OF CHIEF FINANCIAL OFFICER,USA,bb6b965c-89d1-11e7-89d0-1cc1de329608,OFFICE OF THE CHIEF FINANCIAL OFFICER,4717
99164-6221,120521,"AGRICULTURE, DEPARTMENT OF",WA,PULLMAN,contracting_office,04/01/2016 00:00:00,USDA ARS PWA PULLMAN ADMIN OFFICE,USA,baf595a2-89d1-11e7-89d0-1cc1de329608,AGRICULTURAL RESEARCH SERVICE,12H2
20405,47QTCR,GENERAL SERVICES ADMINISTRATION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,GSA/ITS/QTX OFF IT SHARED SERVICES,USA,bb6fbe7a-89d1-11e7-89d0-1cc1de329608,FEDERAL ACQUISITION SERVICE,4732
19111-5096,SPM200,DEPT OF DEFENSE,PA,PHILADELPHIA,contracting_office,10/01/2003 00:00:00,DLA TROOP SUPPORT,USA,bbbffd36-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
46222,365213,"VETERANS AFFAIRS, DEPARTMENT OF",IN,INDIANAPOLIS,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS,USA,bb5ade3e-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
20520,19VE30,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,AMERICAN EMBASSY CARACAS,USA,bb4e4582-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
60638-6222,1251KR,"AGRICULTURE, DEPARTMENT OF",IL,CHICAGO,contracting_office,04/01/2016 00:00:00,USDA GIPSA,USA,bb2c8ca0-89d1-11e7-89d0-1cc1de329608,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",12K4
95616-4161,129100,"AGRICULTURE, DEPARTMENT OF",CA,DAVIS,contracting_office,04/01/2016 00:00:00,USDA FSA,USA,baf16808-89d1-11e7-89d0-1cc1de329608,FARM SERVICE AGENCY,12D2
32926,1242AU,"AGRICULTURE, DEPARTMENT OF",FL,COCOA,contracting_office,04/01/2016 00:00:00,USDA APHIS PPQ,USA,bb13200c-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
19111,SPE5E4,DEPT OF DEFENSE,PA,PHILADELPHIA,contracting_office,10/01/2016 00:00:00,DLA TROOP SUPPORT,USA,bbbbbe56-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
20520,19AR20,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,AMERICAN EMBASSY BUENOS AIRES,USA,bb4a0306-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
44181,1255TJ,"AGRICULTURE, DEPARTMENT OF",OH,CLEVELAND,contracting_office,04/01/2016 00:00:00,USDA APHIS WS,USA,bb1bb42e-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
70114,70FBLA,"HOMELAND SECURITY, DEPARTMENT OF",LA,NEW ORLEANS,contracting_office,04/01/2016 00:00:00,NEW ORLEANS CONTRACT OPS  MGMT BRA,USA,bb7c4724-89d1-11e7-89d0-1cc1de329608,FEDERAL EMERGENCY MANAGEMENT AGENCY,7022
64131,47QSHA,GENERAL SERVICES ADMINISTRATION,MO,KANSAS CITY,contracting_office,04/01/2016 00:00:00,FAS HEARTLAND REGIONAL ADMINISTRATO,USA,bb6fbdaa-89d1-11e7-89d0-1cc1de329608,FEDERAL ACQUISITION SERVICE,4732
79720,36C519,"VETERANS AFFAIRS, DEPARTMENT OF",TX,BIG SPRING,contracting_office,04/01/2016 00:00:00,519-BIG SPRING (00519),USA,bb633ba0-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
75220,15DDL6,"JUSTICE, DEPARTMENT OF",TX,DALLAS,contracting_office,04/01/2016 00:00:00,SOUTH CENTRAL LABORATORY,USA,bb3921f6-89d1-11e7-89d0-1cc1de329608,DRUG ENFORCEMENT ADMINISTRATION,1524
31098-1813,SPRWA1,DEPT OF DEFENSE,GA,ROBINS A F B,contracting_office,06/30/2007 00:00:00,"DLA AVIATION AT WARNER ROBINS, GA",USA,bbc43d3e-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
78041-5406,127MMS,"AGRICULTURE, DEPARTMENT OF",TX,LAREDO,contracting_office,04/01/2016 00:00:00,USDA  APHIS  IS  SWP,USA,bb1ff696-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
20004,951040,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,FEDERAL MINE SAFETY  HEALTH REVIEW,USA,bb88ce6e-89d1-11e7-89d0-1cc1de329608,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,9504
95814,47PK15,GENERAL SERVICES ADMINISTRATION,CA,SACRAMENTO,contracting_office,04/01/2016 00:00:00,PBS R9,USA,bb73f5c2-89d1-11e7-89d0-1cc1de329608,PUBLIC BUILDINGS SERVICE,4740
20090-6454,123JJK,"AGRICULTURE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,USDA GIPSA,USA,bb285da8-89d1-11e7-89d0-1cc1de329608,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",12K4
77032,15DDH0,"JUSTICE, DEPARTMENT OF",TX,HOUSTON,contracting_office,04/01/2016 00:00:00,HOUSTON TX DIVISION OFFICE,USA,bb3921be-89d1-11e7-89d0-1cc1de329608,DRUG ENFORCEMENT ADMINISTRATION,1524
20560,333158,SMITHSONIAN INSTITUTION,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,NATIONAL MUSEUM OF AFRICAN ART,USA,bb52776e-89d1-11e7-89d0-1cc1de329608,SMITHSONIAN INSTITUTION,3300
19720-9998,123520,"AGRICULTURE, DEPARTMENT OF",DE,NEW CASTLE,contracting_office,04/01/2016 00:00:00,USDA  APHIS  PPQ,USA,bb0ee764-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
49503,15M040,"JUSTICE, DEPARTMENT OF",MI,GRAND RAPIDS,contracting_office,04/01/2016 00:00:00,"U.S. DEPT OF JUSTICE, USM, W/MI",USA,bb418284-89d1-11e7-89d0-1cc1de329608,U.S. MARSHALS SERVICE,1544
82001,36P442,"VETERANS AFFAIRS, DEPARTMENT OF",WY,CHEYENNE,contracting_office,04/01/2016 00:00:00,442P-CHEYENNE PROSTHETICS(00442P),USA,bb676ace-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
43218-3990,SPE7M2,DEPT OF DEFENSE,OH,COLUMBUS,contracting_office,02/01/2013 00:00:00,DLA LAND AND MARITIME,USA,bbbbbf06-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
46249,HQ0425,DEPT OF DEFENSE,IN,INDIANAPOLIS,contracting_office,10/01/2003 00:00:00,DEFENSE FINANCE AND ACCOUNTING SVC,USA,bbc43dbe-89d1-11e7-89d0-1cc1de329608,DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS),97BZ
01702-8205,36132S,"VETERANS AFFAIRS, DEPARTMENT OF",MA,FRAMINGHAM,contracting_office,04/01/2016 00:00:00,DEPT OF VETERANS AFFAIRS VA BOSTON,USA,bb56a7ec-89d1-11e7-89d0-1cc1de329608,"VETERANS AFFAIRS, DEPARTMENT OF",3600
19111-5096,SPM8E5,DEPT OF DEFENSE,PA,PHILADELPHIA,contracting_office,10/01/2006 00:00:00,DLA TROOP SUPPORT,USA,bbbfffb6-89d1-11e7-89d0-1cc1de329608,DEFENSE LOGISTICS AGENCY,97AS
33409-6241,N61931,DEPT OF DEFENSE,FL,WEST PALM BEACH,contracting_office,07/05/2006 00:00:00,NAVOPSPTCEN WEST PALM BCH,USA,bb95c9e2-89d1-11e7-89d0-1cc1de329608,DEPT OF THE NAVY,1700
10004,3323AK,SMITHSONIAN INSTITUTION,NY,NEW YORK,contracting_office,04/01/2016 00:00:00,GEORGE GUSTAV HEYE CENTER,USA,bb52769e-89d1-11e7-89d0-1cc1de329608,SMITHSONIAN INSTITUTION,3300
20535,15F075,"JUSTICE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,DIVISION 2000,USA,bb45bbb4-89d1-11e7-89d0-1cc1de329608,FEDERAL BUREAU OF INVESTIGATION,1549
20520,190PEP,"STATE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,ACQUISITIONS - PROCUREMENT EXEC,USA,bb45bd6c-89d1-11e7-89d0-1cc1de329608,"STATE, DEPARTMENT OF",1900
53711,12569V,"AGRICULTURE, DEPARTMENT OF",WI,MADISON,contracting_office,04/01/2016 00:00:00,USDA APHIS VS,USA,bb1bb456-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
22406,1233NV,"AGRICULTURE, DEPARTMENT OF",VA,FREDERICKSBURG,contracting_office,04/01/2016 00:00:00,USDA AMS FV FPB TDC,USA,bafe0992-89d1-11e7-89d0-1cc1de329608,AGRICULTURAL MARKETING SERVICE,12K2
98207-5001,N68967,DEPT OF DEFENSE,WA,EVERETT,contracting_office,10/01/2006 00:00:00,NAVAL STATION EVERETT,USA,bb9e4354-89d1-11e7-89d0-1cc1de329608,DEPT OF THE NAVY,1700
97801,1204R3,"AGRICULTURE, DEPARTMENT OF",OR,PENDLETON,contracting_office,04/01/2016 00:00:00,"USDA FOREST SERVICE, R6",USA,bae89094-89d1-11e7-89d0-1cc1de329608,FOREST SERVICE,12C2
09094-3276,FA3103,DEPT OF DEFENSE,AE,APO,contracting_office,04/15/2016 00:00:00,FA3103  HQ USAFE A4 A4K,USA,bbaaf688-89d1-11e7-89d0-1cc1de329608,DEPT OF THE AIR FORCE,5700
55101-1678,W912ES,DEPT OF DEFENSE,MN,SAINT PAUL,contracting_office,10/01/2003 00:00:00,W07V ENDIST ST PAUL,USA,bba6bf30-89d1-11e7-89d0-1cc1de329608,DEPT OF THE ARMY,2100
20004,1131CP,EXECUTIVE OFFICE OF THE PRESIDENT,DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,INTER-AMERICAN FOUNDATION,USA,bae88e84-89d1-11e7-89d0-1cc1de329608,INTER-AMERICAN FOUNDATION,1143
10005,9523ZY,COMMODITY FUTURES TRADING COMMISSION,NY,NEW YORK,contracting_office,04/01/2016 00:00:00,COMMODITY FUTURES TRADING COMM,USA,bb88ce7e-89d1-11e7-89d0-1cc1de329608,COMMODITY FUTURES TRADING COMMISSION,9507
91406,S0517A,DEPT OF DEFENSE,CA,VAN NUYS,contracting_office,10/01/2004 00:00:00,DCMA NORTHRIDGE,USA,bbb35864-89d1-11e7-89d0-1cc1de329608,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),9763
26201-8819,W912L8,DEPT OF DEFENSE,WV,BUCKHANNON,contracting_office,10/01/2003 00:00:00,W7N7 USPFO ACTIVITY WV ARNG,USA,bba6c030-89d1-11e7-89d0-1cc1de329608,DEPT OF THE ARMY,2100
29571,124629,"AGRICULTURE, DEPARTMENT OF",SC,MARION,contracting_office,04/01/2016 00:00:00,USDA  APHIS  PPQ,USA,bb17875a-89d1-11e7-89d0-1cc1de329608,ANIMAL AND PLANT HEALTH INSPECTION SERVICE,12K3
20530,15JL1B,"JUSTICE, DEPARTMENT OF",DC,WASHINGTON,contracting_office,04/01/2016 00:00:00,LIBRARY STAFF (JMD),USA,bb392126-89d1-11e7-89d0-1cc1de329608,"OFFICES, BOARDS AND DIVISIONS",1501
