<AWDNBR>,<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<LINENBR>,<OFFADD>,label,<CLASSCOD>,<NAICS>,<AWDAMT>,iname,<AWDDATE>,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<DATE>,<DESC>,<AWARDEE>,<CONTACT>,<NTYPE>
SPE7M317P4587,"47--STRAINER ELEMENT,SE",09062017,17,RAJESH.SEHGAL@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMEFLUID HANDLING DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,47,332996,$35827.00,0bb80357-8a77-11e7-89d0-1cc1de329608,082217,SPE7M317T6818,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7M317T6818/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,Federal Resources Supply Company 235-G Log Canoe Cir  Stevensville 21666-2165 US,Rajesh Sehgal614-692-1432RAJESH.SEHGAL@DLA.MIL,COMBINE  
M6700117P1324,Multifunctional Gaming/Tak Chairs,,17,,Department of the Navy,,PO Box 8368 MCB Camp Lejeune NC 28547-8368,<AWARD>,71,337124,"$ 88,509.00",0bb803fc-8a77-11e7-89d0-1cc1de329608,082217,M6700117Q1306,https://www.fbo.gov/spg/DON/USMC/M67001/Awards/M6700117P1324.html,United States Marine Corps,MCB Camp Lejeune - RCO,28547-8368,0822,,"Sauder Manufacturing Co., 930 W. Barre Rd, Archbold, OH 43502-9320 US","Margaret A Velez, Phone 9104513094, Email Margaret.velez@usmc.mil",
SPE7M517PE528,59--CIRCUIT CARD ASSEMB,09062017,17,DONDIEGO.BOLER@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMEACTIVE DEVICES DIVISIONPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,59,334412,$50040.00,0bb8034d-8a77-11e7-89d0-1cc1de329608,082217,SPE7M517TQ254,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/SPE7M517TQ254/listing.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,SAFRAN ELECTRONICS  DEFENSE CANADA 2000 FISHER DR  PETERBOROUGH K9J  6X CA,Dondiego Boler614-692-7047DONDIEGO.BOLER@DLA.MIL,COMBINE  
SPE4A017V0860,53--RING TAPE DRUM,09062017,17,Justin.Bryant-Kresser@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONAVIATION SUPPLY CHAIN ESOC BUYSRICHMOND              VA 23297RICHMOND VA  23297-5770USA,<AWARD>,53,332510,$88868.00,0bb80311-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TDB23,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TDB23/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,Engineered Arresting Systems 2550 Market St  Aston 19014-3426 US,JUSTIN BRYANT-KRESSER804-279-4505Justin.Bryant-Kresser@dla.mil,COMBINE  
VA786-17-C-0194,"99--NRM Project 803-NRM17-04, Bath National Cemetery    ",10062017,17,henry.dukes@va.gov,Department of Veterans Affairs,,Department of Veterans Affairs;NCA Contracting Service;75 Barrett Heights Rd. Suite 309;Stafford VA  22556,<AWARD>,99,238160,"$173,983.00",0bb8040e-8a77-11e7-89d0-1cc1de329608,082217,VA78617R0541,https://www.fbo.gov/spg/VA/VANCA/VANCA/VA78617R0541/listing.html,VA National Cemetery Administration Centralized Contracting Division,Department of Veterans Affairs National Cemetery Administration,22556,0822,Link To Document,"ROBERT F. HYLAND  SONS, LLC;277 N WINTON RD;ROCHESTER;NY;14610","Henry C. DukesHenry. Dukes@va.govProject 803-NRM17-04, Bath National Cemetery",PRESOL
SPE7MX17D0123,SPE7MX17R0064,08242018,17,,Defense Logistics Agency,8,P O Box 3990 Columbus OH 43218-3990,<AWARD>,29,336390,"$275,591.46",0bb80320-8a77-11e7-89d0-1cc1de329608,082217,SPE7MX17R0064,https://www.fbo.gov/spg/DLA/J3/DSCC/SPE7MX17R0064/listing.html,DLA Acquisition Locations,DLA Land and Maritime,43218-3990,0822," rContract SPE7MX-17-D-0123 awarded torVehicle Maintenance (0HBG3)r3595 N. Dixie Hwy, #7rBoca Raton, FL 33431","Vehicle Maintenance (0HBG3), 3595 N. Dixie Hwy, #7, Boca Raton, FL 33431 US","Brandi L. Scott, Email Brandi.Scott@dla.mil",PRESOL
FA8734-17-C-0003,Legacy Application Systems Study RFQ,10312017,17,,Department of the Air Force,,"4225 Logistics Avenue, S216 Wright-Patterson  OH 45433",<AWARD>,70,541512,"$2,018,724.46",0bb80271-8a77-11e7-89d0-1cc1de329608,082217,FA8734-17-R-0003_RFQ_Legacy_App,https://www.fbo.gov/notices/9d164ddd8f5d5daf06f91483532d6de8,Air Force Materiel Command,AFLCMC/HIBK-WPAFB,45433,0822,"The Air Force Life Cycle Management Center (AFLCMC), Business and Enterprise Systems (BES) Directorate, Human Resources Systems Division Contracting Office (HIHK), 1960 1st Street West, Bldg 977, Joint Base San Antonio-Randolph, Texas 78150, hereby announces the official notice of contract award for the Legacy Application Systems Study, FA8734-17-C-0003.","Diligent Consulting, Inc, 901 NE Loop 410, Suite 600, San Antonio, TX 78209 US","Amanda Davenport, Contracting Officer, Phone (210) 565-6100, Email amanda.davenport.2@us.af.mil - Gabby Torres, Contract Specialist, Phone (210) 565-2690, Email gabriela.torres.1@us.af.mil",COMBINE  
VA263-17-P-1275,W--EMERGENCY Temporary A/C Chiller    ,09022017,17,Lance.Haman@va.gov,Department of Veterans Affairs,,DEPARTMENT OF VETERANS AFFAIRS;NETWORK 23 CONTRACTING OFFICE;2101 North Elm Street;Building 30 (04-S);FARGO ND  58102,<AWARD>,W,333415,"$141,630.00",0bb80380-8a77-11e7-89d0-1cc1de329608,080317,VA26317Q1014,https://www.fbo.gov/spg/VA/FVAMROC/DVAMROC/Awards/VA263-17-P-1275.html,Fargo VAMROC,Department of Veterans Affairs Medical and Regional Office Center,58102,0822,Link To Document,"MDM CONSTRUCTION, LLC;45 21ST AVE E UNIT F;WEST FARGO;ND;58078",Lance HamanContract Officer,
FA865014D4031001001,R--Centrifuge Motion Sickness Study Support,09062017,17,,Department of the Air Force,,"USAF/AFMC, AFRL WRIGHT RESEARCH SITE, 2130 EIGHTH STREET, BUILDING 45, WRIGHT-PATTERSON AFB OH 45433-7541",<AWARD>,R,488190,,0bb80276-8a77-11e7-89d0-1cc1de329608,072617,,https://www.fbo.gov/spg/USAF/AFMC/AFRLWRS/Awards/FA865014D4031001001.html,Air Force Materiel Command,AFRL/RQK - WPAFB,"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRAT, TECHNOLOGY SOLUTIONS-ADVANCED INFORMATION TECHNOLOGIES 600 DISTRICT AVE, BURLINGTON MA 01803-5046",0822,No Description Provided,"WYLE LABORATORIES, INC., WYLE LIFE SCIENCE 2400 NASA PARKWAY, HOUSTON TX 77058-3711","TREVOR D WEBB, Contracting Negotiator, Phone 9377139866 x, Email trevor.webb.3@us.af.mil; STACEY L TALBOTT, Contracting Officer, Phone (937) 713-9942 x, Email Stacey.Talbott@us.af.mil",
N66604-17-P-1917,Engineering Services for TEMPALT TDP,,17,,Department of the Navy,"0001, 0002",Simonpietri Drive Newport RI 02841-1708,<AWARD>,B,541330,"$136,736.97",0bb803c9-8a77-11e7-89d0-1cc1de329608,082117,N66604-17-R-1917,https://www.fbo.gov/spg/DON/NAVSEA/N66604/N66604-17-R-1917/listing.html,Naval Sea Systems Command,NUWC Newport Division,02841-1708,0822,,"McLaughlin Research Corporation, 130 Eugene Ox92Neill Drive, New London, CT 06320 US","Bryan E. Cohen, Phone 4018323345, Email bryan.cohen@navy.mil",PRESOL
SPE4A417V9081,"59--CABLE ASSEMBLY,PRIN",09062017,17,RUSSELL.MYERS@DLA.MIL,Defense Logistics Agency,0001,DLA AVIATIONSUPPLIER OPER SUPPLIER SPT DIV8000 JEFFERSON DAVIS HIGHWAYRICHMOND VA  23297USA,<AWARD>,59,334419,$79548.20,0bb802db-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TDC79,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TDC79/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0822,Link To Document,"MESA ELECTRONICS GROUP LLC, THE 7425 LINDEN DR  OAK LAWN 60458-3100 US",RUSSELL MYERS804-279-3182RUSSELL.MYERS@DLA.MIL,COMBINE  
V797D-70180,"65--OBP Medical Corporation dba OBP Medical 65IIA V797D-70180 Effective Date August 1, 2017 - July 31, 2022 ",08262017,17,Fss.Help@va.gov,Department of Veterans Affairs,,"Department of Veterans Affairs;OAL / National Acquisition Center;Building 37;1st Avenue, One Block North of Cermak;Hines IL  60141",<AWARD>,65,339112,$0.00,0bb80409-8a77-11e7-89d0-1cc1de329608,062717,65IIA,https://www.fbo.gov/spg/VA/VANAC/VANAC/65IIA/listing.html,VA National Acquisition Center,Department of Veterans Affairs National Acquisition Center,60141,0822,Link To Document,OBP CORPORATION;360 MERRIMACK ST BLDG 9;LAWRENCE;MA;01843,FSS Service Help Desk708-786-7737helpdesk.ammhinfss@va.govFSS Help Desk,
W912PB-17-P-8125,"Repair Building and Heating System, Hohenfels, Germany",,17,,Department of the Army,0001,,<AWARD>,Z,238220,"$80,973.30",0bb8028d-8a77-11e7-89d0-1cc1de329608,082217,W912PB-17-Q-7001,https://www.fbo.gov/notices/d61b3b7eeff031a3b1d7de85c109e068,"Army Contracting Command, ECC",409th CSB (W912PB) RCO Bavaria,09114,0822,"Award Amount:  Euro 72,795.00","Wolff  Mueller Government Services gmbH, Schwieberdinger Strasse 107, Stuttgart 70435 DE","Sigrid Kahlert, Contract Specialist, Phone +499641838779, Email sigrid.kahlert.ln@mail.mil - Gabriele Kraus-Lindner, Contracting Officer, Phone +499641838724, Email gabriele.kraus-lindner.ln@mail.mil",PRESOL
N0025317C0010,N00253-17-R-0007 -- MK48 Fuel Tank Shells,09212017,17,,Department of the Navy,,610 Dowell Street Keyport WA 98345-7610,<AWARD>,13,332710,"$1,784,009.45.  The total maximum value for the base and all options is not to exceed $8,675,857.35.",0bb803c7-8a77-11e7-89d0-1cc1de329608,082117,N00253-17-R-0007,https://www.fbo.gov/spg/DON/NAVSEA/N00253/N00253-17-R-0007/listing.html,Naval Sea Systems Command,NUWC Keyport Division,98345-7610,0822,,"Astro Manufacturing  Design, Inc., 34459 Curtis Blvd, Eastlake, OH 44095 US","Kirsten A. Newhard, Phone 3603961915, Email kirsten.newhard@navy.mil",PRESOL
SPE4A017V0844,"59--RACEWAY ASSEMBLY,ME",09062017,17,Matthew.Wood@dla.mil,Defense Logistics Agency,0001,DLA AVIATIONAVIATION SUPPLY CHAIN ESOC BUYSRICHMOND              VA 23297RICHMOND VA  23297-5770USA,<AWARD>,59,335999,$27270.00,0bb802d1-8a77-11e7-89d0-1cc1de329608,082217,SPE4A617TDJ13,https://www.fbo.gov/spg/DLA/J3/DSCR-BSM/SPE4A617TDJ13/listing.html,DLA Acquisition Locations,DLA Aviation - BSM,23297,0821,Link To Document,JO-KELL INC. 1716 LAMBERT CT  CHESAPEAKE 23320-8913 US,Matthew Wood804-279-4369Matthew.Wood@dla.mil,COMBINE  
M0014617D9011,LPC Disks,,17,,Department of the Navy,,Cherry Point Satellite Contracting OfficerPSC Box 8018 MCAS Cherry Point NC 28533-0018,<AWARD>,16,332812,$270799.20,0bb803f9-8a77-11e7-89d0-1cc1de329608,082217,M0014617Q9011,https://www.fbo.gov/spg/DON/USMC/M00146/M0014617Q9011/listing.html,United States Marine Corps,MCAS Cherry Point,28533-0018,0822,,Surface Enhancement Technologies,"Nicholas VonBargen, Phone 252-466-2786, Email nicholas.vonbargen@usmc.mil",SNOTE
N62470-17-D-4008,B--Professional Services to support the CNIC Housing Condition Assessment Program (HCAP,09222017,17,,Department of the Navy,,"N62470 NAVFAC Atlantic Code AQ 6506 Hampton Blvd, Building A Norfolk, VA",<AWARD>,B,,"$15,000,000",0bb803be-8a77-11e7-89d0-1cc1de329608,082217,N6247017R4008,https://www.fbo.gov/spg/DON/NAVFAC/N62470CON/N6247017R4008/listing.html,Naval Facilities Engineering Command,"NAVFAC Atlantic,",23508,0822,No Description Provided,Parsons Government Services Inc.,"Erin Quimby, erin.quimby@navy.mil",PRESOL
SPE7MC17P5921,"48--VALVE,LINEAR,DIRECT",09062017,17,William.Cain2@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMEMARITIME HARDWARE/ELECTRICALP O BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,48,332912,$145119.48,0bb80334-8a77-11e7-89d0-1cc1de329608,082217,SPE7MC17TQ141,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7MC17P5921.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,"TRANSAERO, INC. 35 MELVILLE PARK RD STE 100  MELVILLE 11747-3268 US",William Cain614-692-5347William.Cain2@dla.mil,
SPE7L517P0627,"10--GRIP ASSEMBLY,CONTR",09062017,17,Ryan.Collier@dla.mil,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLIER OPNS ENGINESPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,10,332994,$133874.08,0bb80345-8a77-11e7-89d0-1cc1de329608,082217,SPE7L217T3663,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7L517P0627.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,CONTRACT FABRICATION AND DESIGN 5427 FM 546  PRINCETON 75407-4763 US,Ryan Collier614-692-3011Ryan.Collier@dla.mil,
FN130117SE0017,Planet Software Licenses/Maintenance,,17,,Department of Commerce,,12201 Sunrise Valley Drive Reston VA 20192,<AWARD>,70,511210,"$54,148.00",0bb803b9-8a77-11e7-89d0-1cc1de329608,082217,AA-NTI-SE-O-17-00590,https://www.fbo.gov/notices/c356b2ecb206cc07afc155d51c87cc12,National Telecommunications  Information Administration,First Responder Network Authority,20192,0822,,InfoVista Corporation,"Chendra Conklin, Contracting Officer, Phone 3033349606, Email chendra.conklin@firstnet.gov",
SPE4A216G00020336,"48--VALVE,SPECIAL,SLIDE",09062017,17,John.Roeder@dla.mil,Defense Logistics Agency,0001-0002,DLA LAND AND MARITIMEMARITIME HARDWARE/ELECTRICALP O BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,48,332911,$111340.00,0bb80354-8a77-11e7-89d0-1cc1de329608,082217,SPE7MC17Q0687,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE4A216G00020336.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,MOOG INC. DBA MOOG 400 JAMISON RD PLANT 26  ELMA 14059-9497 US,John Roeder614-692-2652John.Roeder@dla.mil,
SPE7M017P4927,"48--VALVE,BALL",09062017,17,LAURIE.WASSMUTH@DLA.MIL,Defense Logistics Agency,0001-0002,DLA LAND AND MARITIMEMARITIME SUPPLY CHAIN ESOC BUYSPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,48,332911,$81154.00,0bb8034f-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7M017P4927.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,"B.N.L. INDUSTRIES, INC. 30 INDUSTRIAL PARK RD  VERNON 06066-5523 US",Laurie Wassmuth614-692-3246LAURIE.WASSMUTH@DLA.MIL,
VA244-17-P-5185,65--Mobile precision guided therapy system    ,08312017,17,amanda.saunders@va.gov,Department of Veterans Affairs,3,"Department of Veterans Affairs;Network Contracting Office 4;1010 DELAFIELD ROAD;PITTSBURGH, PA 15215",<AWARD>,65,334510,"$152,250.00",0bb803d5-8a77-11e7-89d0-1cc1de329608,081617,VA24417Q1254,https://www.fbo.gov/spg/VA/PiVAMC646/PiVAMC646/Awards/VA244-17-P-5185.html,Network Contracting Office 4,Veterans Integrated Service Network 4 Facilities,15215,0822,Link To Document,VIZOCOM ICT LLC;1506 CONSTANCIA WAY;EL CAJON;CA;92019,AMANDA SAUNDERSAMANDA.SAUNDERS@VA.GOVamanda.saunders@va.gov,
N00039-17-C-0020,A -- N00039-17-C-0020 - FY 2016 Rapid Innovation Fund - RIF16-460_Gyro Stabilized Celestial Navigator,09202017,17,kenneth.nickel@navy.mil,Department of the Navy,,"4301 Pacific Highway Bldg OT4 Code 02, San Diego CA 92110-3127",<AWARD>,A,541712,$1473399,0bb803ee-8a77-11e7-89d0-1cc1de329608,082117,N00039-17-C-0020,https://www.fbo.gov/spg/DON/SPAWAR/SPAWARHQ/N00039-17-C-0020/listing.html,Space and Naval Warfare Systems Command,SPAWAR HQ,92110,0822,Link To Document,"Trex Enterprises, 10455 Pacific Center Ct , San Diego, CA 92121-4339 US","Point of Contact - Kenneth B Nickel, Contract Specialist,  619-524-7184; Kenneth B Nickel, Contracting Officer, 619-524-7184Contract Specialist",
FA875017C0187,A--Virtualized Uncertainty: Pragmatic Modeling of Cyber Domain Assessments,09062017,17,,Department of the Air Force,,"USAF, AFMC, AIR FORCE RESEARCH LABORATORY, 26 ELECTRONIC PARKWAY, ROME NY 13441-4514",<AWARD>,A,541712,$1862374,0bb80274-8a77-11e7-89d0-1cc1de329608,082217,,https://www.fbo.gov/spg/USAF/AFMC/AFRLRRS/Awards/FA875017C0187.html,Air Force Materiel Command,AFRL/RIK -  Rome ,13441,0822,No Description Provided,"SIEGE TECHNOLOGIES, LLC, 540 N COMMERCIAL ST, MANCHESTER NH 03101-1122","ANDREW  MUNN, Contracting Negotiator, Phone 315-330-2995 x, Email andrew.munn@us.af.mil; ASHLEY M VANDENTOP, Contracting Officer, Phone 3153304457 x, Email ASHLEY.VANDENTOP@US.AF.MIL",
SPE7L517F0001,"30--GEAR,SPUR",09062017,17,NATALYA.RADYK@DLA.MIL,Defense Logistics Agency,0001,DLA LAND AND MARITIMELAND SUPPLIER OPNS ENGINESPO BOX 3990COLUMBUS OH  43218-3990USA,<AWARD>,30,333612,$97042.96,0bb80323-8a77-11e7-89d0-1cc1de329608,082217,SPE7L217T3592,https://www.fbo.gov/spg/DLA/J3/DSCC-BSM/Awards/SPE7L517F0001.html,DLA Acquisition Locations,DLA Land and Maritime - BSM,43218,0822,Link To Document,GENERAL ELECTRIC COMPANY DBA GE 1 NEUMANN WAY  CINCINNATI 45215-1988 US,Natalya Radyk614-692-4884NATALYA.RADYK@DLA.MIL,
A17PX01431,70--Precision Workstation T7910,01292018,17,,Department of the Interior,ALL,"316 N. 26th Street, Billings, MT 59101",<AWARD>,70,,"$3,678.12",0bb80299-8a77-11e7-89d0-1cc1de329608,082217,0040348034,https://www.fbo.gov/spg/DOI/BIA/RestonVA/0040348034/listing.html,Bureau of Indian Affairs,BIA - DAPM,AMERICAN OPERATIONS CORPORATION;14030 THUNDERBOLT PL STE 700;CHANTILLY;VA;20151,0822,No Description Provided,"AMERICAN WORDATA, INCORPORATED [DUNS: 048474621],8190 W. DEER VALLEY RD SUITE 104,PEORIA AZ 85382","Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",COMBINE  
